Team,Year,Wins
Yankees,2023,82
Yankees,2022,99
Yankees,2021,92
Yankees,2020,33
Yankees,2019,103
Yankees,2018,100
Yankees,2017,91
Yankees,2016,84
Yankees,2015,87
Yankees,2014,84
Yankees,2013,85
Yankees,2012,95
Yankees,2011,97
Yankees,2010,95
Yankees,2009,103
Yankees,2008,89
Yankees,2007,94
Yankees,2006,97
Yankees,2005,95
Yankees,2004,101
Yankees,2003,101
Yankees,2002,103
Yankees,2001,95
Yankees,2000,87
Yankees,1999,98
Yankees,1998,114
Yankees,1997,96
Yankees,1996,92
Yankees,1995,79
Yankees,1994,70
Yankees,1993,88
Yankees,1992,76
Yankees,1991,71
Yankees,1990,67
Yankees,1989,74
Yankees,1988,85
Yankees,1987,89
Yankees,1986,90
Yankees,1985,97
Yankees,1984,87
Yankees,1983,91
Yankees,1982,79
Yankees,1981,59
Yankees,1980,103
Yankees,1979,89
Yankees,1978,100
Yankees,1977,100
Yankees,1976,97
Yankees,1975,83
Yankees,1974,89
Yankees,1973,80
Phillies,2023,90
Phillies,2022,87
Phillies,2021,82
Phillies,2020,28
Phillies,2019,81
Phillies,2018,80
Phillies,2017,66
Phillies,2016,71
Phillies,2015,63
Phillies,2014,73
Phillies,2013,73
Phillies,2012,81
Phillies,2011,102
Phillies,2010,97
Phillies,2009,93
Phillies,2008,92
Phillies,2007,89
Phillies,2006,85
Phillies,2005,88
Phillies,2004,86
Phillies,2003,86
Phillies,2002,80
Phillies,2001,86
Phillies,2000,65
Phillies,1999,77
Phillies,1998,75
Phillies,1997,68
Phillies,1996,67
Phillies,1995,69
Phillies,1994,54
Phillies,1993,97
Phillies,1992,70
Phillies,1991,78
Phillies,1990,77
Phillies,1989,67
Phillies,1988,65
Phillies,1987,80
Phillies,1986,86
Phillies,1985,75
Phillies,1984,81
Phillies,1983,90
Phillies,1982,89
Phillies,1981,59
Phillies,1980,91
Phillies,1979,84
Phillies,1978,90
Phillies,1977,101
Phillies,1976,101
Phillies,1975,86
Phillies,1974,80
Phillies,1973,71
Royals,2023,56
Royals,2022,65
Royals,2021,74
Royals,2020,26
Royals,2019,59
Royals,2018,58
Royals,2017,80
Royals,2016,81
Royals,2015,95
Royals,2014,89
Royals,2013,86
Royals,2012,72
Royals,2011,71
Royals,2010,67
Royals,2009,65
Royals,2008,75
Royals,2007,69
Royals,2006,62
Royals,2005,56
Royals,2004,58
Royals,2003,83
Royals,2002,62
Royals,2001,65
Royals,2000,77
Royals,1999,64
Royals,1998,72
Royals,1997,67
Royals,1996,75
Royals,1995,70
Royals,1994,64
Royals,1993,84
Royals,1992,72
Royals,1991,82
Royals,1990,75
Royals,1989,92
Royals,1988,84
Royals,1987,83
Royals,1986,76
Royals,1985,91
Royals,1984,84
Royals,1983,79
Royals,1982,79
Royals,1981,50
Royals,1980,97
Royals,1979,85
Royals,1978,92
Royals,1977,102
Royals,1976,90
Royals,1975,91
Royals,1974,77
Royals,1973,88
